"","ML1","ML2","ML3"
"bathroom",0.963350736739662,0.176602819503877,0.189121456311721
"suite",0.720354303096122,0.247356308325922,0.216068476754719
"area_total",0.261220762420882,0.928946808554158,0.252629307558778
"garage",0.142148955781079,0.342665676408857,0.3171827205136
"area_util",0.310702938483266,0.509165788502647,0.628822913082952
"bedroom",0.133554966655902,0.138580909378815,0.591883239780622
